player_id,team_id,player_name,player_shirt_number,player_age,player_height,player_nationality,player_positions,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB,strengths,weaknesses,player_style,name_lower,RecordID,ClubName,League/Country,BootsName,BootsMaterial,BootsBrand,BootsPack,BootsType,BootsPosition,BootsTopPlayers,PlayerMarketValue
557,19,Enzo Loiodice,12.0,24,176,France,['Defensive Midfielder C'],16,588,0,0,3,0,0.3,85.5,0.4,0,6.06,0.8,0.3,0.6,0.0,0.4,0.4,0.1,0,0.3,0.4,0.1,0.8,0.6,23.3,0.3,0.8,0.0,"['Aerial Duels', 'Tackling']",[],"['Gets fouled often', 'Likes to play short passes', 'Likes to do layoffs', 'Likes to tackle']",enzo loiodice,1679742361-2879,UD Las Palmas,Other League,X 19.1,Synthetic,adidas,,Speed,Attack,Lionel Messi,€1 million
558,19,Marc Cardona,9.0,29,183,Spain,['Forward'],11,122,0,0,2,0,0.4,80.9,0.0,0,5.98,0.4,0.0,0.2,0.0,0.0,0.1,0.0,0,0.0,0.3,0.0,0.4,0.2,4.3,0.0,0.1,0.0,['Defensive contribution'],"['Offside awareness', 'Aerial Duels', 'Holding on to the ball']","['Likes to play short passes', 'Indirect set-piece threat', 'Likes to tackle']",marc cardona,1679742361-2874,UD Las Palmas,Other League,Phantom GX,Gripknit,Nike,Blast,Control,Midfield,Erling Haaland,€1 million
568,20,Lucas Rosa,22.0,25,176,Brazil,"['Defender Left', 'Defender Right']",29,2338,0,2,8,0,0.4,81.2,1.0,1,6.57,2.4,1.4,1.6,0.2,2.1,0.7,0.3,0,0.6,0.8,0.0,0.6,1.3,29.8,0.2,1.0,0.1,"['Aerial Duels', 'Tackling', 'Blocking the ball', 'Ball interception']","['Holding on to the ball', 'Passing', 'Crossing']",['Commits fouls often'],lucas rosa,1679742361-1319,Real Valladolid,La Liga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€1 million
569,20,Iván Sánchez,10.0,32,171,Spain,"['Attacking Midfielder Centre', 'Attacking Midfielder Right']",32,1394,2,1,4,0,0.5,84.2,0.4,1,6.5,1.2,0.4,0.5,0.0,0.3,0.5,0.1,0,0.8,1.5,0.1,0.7,0.8,14.3,0.8,1.2,0.0,"['Dribbling', 'Long shots', 'Holding on to the ball', 'Defensive contribution']",['Tackling'],"['Likes to play long balls', 'Gets fouled often', 'Likes to cross', 'Likes to shoot from distance', 'Likes to dribble']",iván sánchez,1679742361-1307,Real Valladolid,La Liga,Phantom GX,Gripknit,Nike,Blast,Control,Midfield,Erling Haaland,€1 million
570,20,Kike Pérez,8.0,28,184,Spain,['Midfielder Centre'],34,2297,3,0,10,0,1.0,80.5,0.8,2,6.61,2.3,0.5,1.8,0.0,0.8,1.1,0.2,0,1.0,1.1,0.1,1.0,1.4,31.5,0.7,2.2,0.0,"['Dribbling', 'Tackling']",[],"['Likes to play long balls', 'Plays the ball off the ground often', 'Likes to dribble', 'Likes to tackle', 'Commits fouls often']",kike pérez,1679742361-1315,Real Valladolid,La Liga,Future Ultimate,FUZIONFIT360,Puma,Supercharge,Control,,Neymar,€4 million
571,20,Selim Amallah,21.0,28,186,Morocco,"['Attacking Midfielder Centre', 'Attacking Midfielder Left', 'Forward']",24,1388,3,1,6,0,0.9,83.4,0.2,0,6.47,1.3,0.6,1.3,0.0,0.2,0.3,0.1,0,0.5,1.2,0.0,1.0,1.5,15.3,0.4,0.9,0.0,"['Dribbling', 'Long shots', 'Finishing']","['Passing', 'Aerial Duels']","['Likes to play long balls', 'Likes to dribble', 'Gets fouled often', 'Counter attack threat', 'Commits fouls often']",selim amallah,1679742361-1312,Real Valladolid,La Liga,Zoom Mercurial Vapor 15,Vaporsite+,Nike,Blast,Speed,Attack,Cristiano Ronaldo,€7 million
572,20,Cenk Özkacar,6.0,24,190,Turkey,"['Defender Centre', 'Defender Left']",12,711,0,0,1,0,0.2,83.9,1.1,0,6.46,0.9,1.8,0.5,0.3,6.6,0.9,0.6,0,0.1,0.1,0.0,0.1,0.4,35.4,0.0,2.1,0.0,['Ball interception'],['Aerial Duels'],['Clears the ball out of defence often'],cenk özkacar,1679742361-1292,Valencia CF,La Liga,Phantom GT2,Flyknit,Nike,Motivation,,Midfield,Erling Haaland,€2 million
575,20,Luis Pérez,2.0,30,173,Spain,"['Defender Right', 'Midfielder Right']",29,2513,0,0,2,0,0.2,80.3,0.6,1,6.41,1.3,1.0,0.4,0.2,2.5,0.6,0.3,0,0.9,0.8,0.1,0.2,1.0,29.4,1.1,2.0,0.1,"['Crossing', 'Ball interception', 'Concentration']","['Aerial Duels', 'Passing']","['Likes to play long balls', 'Likes to cross', 'Plays the ball off the ground often']",luis pérez,1679742361-1322,Real Valladolid,La Liga,Ultra Ultimate,ULTRAWEAVE,Puma,Fearless,Speed,Attack,Antoine Griezmann,€2 million
576,20,Anuar Tuhami,23.0,30,173,Spain,"['Midfielder Centre', 'Midfielder Left', 'Midfielder Right']",25,1684,2,0,7,0,0.4,84.9,1.0,1,6.41,1.4,0.7,1.1,0.1,0.8,0.5,0.3,0,0.3,1.8,0.4,0.6,1.0,18.0,0.1,0.3,0.0,"['Tackling', 'Aerial Duels', 'Holding on to the ball', 'Defensive contribution']","['Passing', 'Crossing', 'Discipline']","['Likes to play short passes', 'Commits fouls often']",anuar tuhami,1679742361-1316,Real Valladolid,La Liga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€1 million
577,20,Javi Sánchez,5.0,28,186,Spain,['Defender Centre'],25,2033,2,0,6,0,0.4,87.8,1.4,0,6.41,1.0,0.9,0.8,0.5,4.4,0.4,1.1,0,0.2,0.1,0.0,0.0,0.3,46.0,0.0,2.7,0.0,"['Tackling', 'Ball interception']",['Aerial Duels'],['Commits fouls often'],javi sánchez,1679742361-1321,Real Valladolid,La Liga,Zoom Mercurial Vapor 15,Vaporsite+,Nike,Lucent,Speed,Attack,Cristiano Ronaldo,€3 million
